,stock_id,stock_name
393,00459,LEGEND UPSTAR HOLDINGS LIMITED
394,00460,SIHUAN PHARMACEUTICAL HOLDINGS GROUP LTD.
395,00462,NATURAL DAIRY (NZ) HOLDINGS LIMITED
396,00464,CHINA OVERSEAS NUOXIN INTERNATIONAL HOLDINGS LIMITED
397,00465,FUTONG TECHNOLOGY DEVELOPMENT HOLDINGS LIMITED
398,00467,UNITED ENERGY GROUP LIMITED
399,00468,GREATVIEW ASEPTIC PACKAGING COMPANY LIMITED
400,00471,SILKWAVE INC
401,00472,NEW SILKROAD CULTURALTAINMENT LIMITED
402,00474,ACESO LIFE SCIENCE GROUP LIMITED
403,00475,CENTRAL DEVELOPMENT HOLDINGS LIMITED
404,00476,EV DYNAMICS (HOLDINGS) LIMITED
405,00479,CIL HOLDINGS LIMITED
406,00480,HKR INTERNATIONAL LTD
407,00482,SANDMARTIN INTERNATIONAL HOLDINGS LIMITED
408,00483,BAUHAUS INTERNATIONAL (HOLDINGS) LIMITED
409,00484,FORGAME HOLDINGS LIMITED
410,00485,CHINA SINOSTAR GROUP COMPANY LIMITED
411,00486,"UNITED COMPANY RUSAL,INTERNATIONAL PUBLIC JOINT-STOCK COMPANY"
412,00487,SUCCESS UNIVERSE GROUP LIMITED
413,00488,LAI SUN DEVELOPMENT COMPANY LIMITED
414,00489,DONGFENG MOTOR GROUP COMPANY LIMITED
415,00491,EMPEROR CULTURE GROUP LIMITED
416,00493,GOME RETAIL HOLDINGS LIMITED
417,00495,PALADIN LTD
418,00496,KASEN INTERNATIONAL HOLDINGS LIMITED
419,00497,CSI PROPERTIES LIMITED
420,00498,BLUE RIVER HOLDINGS LIMITED
421,00499,QINGDAO HOLDINGS INTERNATIONAL LIMITED
422,00500,FRONTIER SERVICES GROUP LIMITED
423,00503,LANSEN PHARMACEUTICAL HOLDINGS LIMITED
424,00505,XINGYE ALLOY MATERIALS GROUP LIMITED
425,00506,CHINA FOODS LIMITED
426,00508,DINGYI GROUP INVESTMENT LIMITED
427,00509,CENTURY SUNSHINE GROUP HOLDINGS LIMITED
428,00510,CASH FINANCIAL SERVICES GROUP LIMITED
429,00511,TELEVISION BROADCASTS LIMITED
430,00512,GRAND PHARMACEUTICAL GROUP LIMITED
431,00513,CONTINENTAL HOLDINGS LIMITED
432,00515,CHINA SILVER TECHNOLOGY HOLDINGS LIMITED
433,00517,"COSCO SHIPPING INTERNATIONAL (HONG KONG) CO., LTD."
434,00518,TUNGTEX (HOLDINGS) CO. LTD
435,00519,APPLIED DEVELOPMENT HOLDINGS LIMITED
436,00520,"XIABUXIABU CATERING MANAGEMENT (CHINA) HOLDINGS CO., LTD."
437,00521,CWT INTERNATIONAL LIMITED
438,00522,ASMPT LIMITED
439,00524,GREAT WALL TERROIR HOLDINGS LIMITED
440,00525,GUANGSHEN RAILWAY COMPANY LIMITED
441,00526,CHINA AUTOMOBILE NEW RETAIL (HOLDINGS) LIMITED
442,00527,CHINA RUIFENG RENEWABLE ENERGY HOLDINGS LIMITED
443,00528,KINGDOM HOLDINGS LIMITED
444,00529,SIS INTERNATIONAL HOLDINGS LIMITED
445,00530,GOLDIN FINANCIAL HOLDINGS LIMITED
446,00531,SAMSON HOLDING LTD.
447,00532,WONG'S KONG KING INTERNATIONAL (HOLDINGS) LTD
448,00533,GOLDLION HOLDINGS LIMITED
449,00535,GEMDALE PROPERTIES AND INVESTMENT CORPORATION LIMITED
450,00536,TRADELINK ELECTRONIC COMMERCE LIMITED
451,00538,AJISEN (CHINA) HOLDINGS LIMITED
452,00539,VICTORY CITY INTERNATIONAL HOLDINGS LIMITED
453,00540,SPEEDY GLOBAL HOLDINGS LIMITED
454,00542,TFG INTERNATIONAL GROUP LIMITED
455,00543,PACIFIC ONLINE LIMITED
456,00544,DAIDO GROUP LIMITED
457,00546,FUFENG GROUP LIMITED
458,00547,DIGITAL DOMAIN HOLDINGS LIMITED
459,00548,SHENZHEN EXPRESSWAY CORPORATION LIMITED
460,00550,KINGKEY INTELLIGENCE CULTURE HOLDINGS LIMITED
461,00551,YUE YUEN INDUSTRIAL (HOLDINGS) LIMITED
462,00552,CHINA COMMUNICATIONS SERVICES CORPORATION LIMITED
463,00553,NANJING PANDA ELECTRONICS COMPANY LIMITED
464,00554,HANS ENERGY COMPANY LIMITED
465,00556,PAN ASIA ENVIRONMENTAL PROTECTION GROUP LIMITED
466,00557,CHINA TIAN YUAN HEALTHCARE GROUP LIMITED
467,00558,L.K. TECHNOLOGY HOLDINGS LIMITED
468,00559,DETAI NEW ENERGY GROUP LIMITED
469,00560,CHU KONG SHIPPING ENTERPRISES (GROUP) COMPANY LIMITED
470,00563,SHANGHAI INDUSTRIAL URBAN DEVELOPMENT GROUP LIMITED
471,00564,ZHENGZHOU COAL MINING MACHINERY GROUP COMPANY LIMITED
472,00565,ART GROUP HOLDINGS LIMITED
473,00567,DAISHO MICROLINE HOLDINGS LIMITED
474,00568,SHANDONG MOLONG PETROLEUM MACHINERY COMPANY LIMITED
475,00570,CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO LIMITED
